Model,Gender,Mean_Sent_Compound,Mean_Objectivity
ChatGPT,Female,0.9242260462211118,0.6017913854518457
ChatGPT,Male,0.8456359570661895,0.5953650594881147
DeepSeek,Female,0.7532527170518427,0.6390410030114789
DeepSeek,Male,0.632545855694693,0.6361644022485188
Gemini,Female,0.8036836976889445,0.5939884437116856
Gemini,Male,0.6985286225402504,0.5888665142259885
Phi,Female,0.860895690193629,0.6242285160170947
Phi,Male,0.7686954680977937,0.6235927374816498
Llama,Female,0.7955718301061837,0.6239196987029036
Llama,Male,0.6837910554561717,0.6188401555567491
